station_day,n_animals
KLOT20150601,63.474333333333334
KLOT20150602,9179.732
KLOT20150603,143.8225
KLOT20150619,117.5079
KLOT20150620,1643.7505
KLOT20150630,41.9045
KLOT20150706,3184.295
KLOT20150714,16566.912500000002
KLOT20150716,5637.0805
KLOT20150719,1715.0235
KLOT20150721,3183.688
KLOT20150723,1304.5135
KLOT20150727,490.33816666666667
KLOT20150728,5249.198999999999
KLOT20150730,1434.6965
KLOT20150731,70856.62899999999
KLOT20150801,1147.8016666666665
KLOT20150802,2563.6525
KLOT20150803,19570.288875
KLOT20150804,49488.646
KLOT20150805,4062.401
KLOT20150806,3872.3565333333336
KLOT20150807,8282.0055
KLOT20150808,3207.0710833333333
KLOT20150809,5015.4795
KLOT20150810,5756.1632
KLOT20150811,24548.57049166667
KLOT20150812,19605.2458
KLOT20150814,7635.163666666666
KLOT20150815,4821.529274999999
KLOT20150816,1732.561
KLOT20150817,2293.361
KLOT20150818,2634.6490000000003
KLOT20150819,1215.683875
KLOT20150820,1502.2685000000001
KLOT20150822,3248.498
KLOT20150823,3181.589625
KLOT20150824,61784.034499999994
KLOT20150825,8860.648000000001
KLOT20150828,4095.0065
KLOT20150831,19988.730166666668
KLOT20150901,2877.342
KLOT20150903,3534.9335
KLOT20150904,7525.375
KLOT20150906,7243.999375
KLOT20150907,1574.56175
KLOT20150908,2060.7272000000003
KLOT20150909,16284.965566666666
KLOT20150910,28261.976
KLOT20150911,250.27999999999997
KLOT20150912,370.0131666666666
KLOT20150913,988.3553333333333
KLOT20150914,15197.462
KLOT20150915,121.7305
KLOT20150916,3034.7645
KLOT20150917,125.007
KLOT20150920,251.737
KLOT20150924,66866.788
KLOT20150926,24423.153000000002
KLOT20150927,30.2295
KLOT20150929,8126.443499999999
KLOT20150930,18220.324333333334
KLOT20151004,4.56025
KLOT20151007,9903.1685
KLOT20151009,823.8085000000001
KLOT20151010,9070.328000000001
KLOT20151014,16194.515000000001
KLOT20151018,13432.12
KLOT20151022,8504.0045
KLOT20151024,1578.29275
KLOT20151030,55754.72333333333
